auteur;titel;datum;;;
Elena Ferrante;De geniale vriendin;10-8-2023;;;
Adrian Goldsworthy;De muur van Hadrianus;9-8-2023;;;
Adrian Goldsworthy;Augustus;6-8-2023;;;
Suzanne Vermeer;Hittegolf;5-8-2023;;;
Jens Henrik Jensen;De hondenmoorden;3-8-2023;;;
Susan Smit;Gisele;31-7-2023;;;
Iris Murdoch;The Bell;26-7-2023;;;
Darcy Coates;Dead of winter;22-7-2023;;;
Tom Rob Smith;The secret speech;19-7-2023;;;
Kate Kirkpatrick;Simone de Beauvoir een leven;8-7-2023;;;
Robert A. Caro;The passage of power;18-6-2023;;;
Fiona Barton;The suspect;17-6-2023;;;
Guiliano da Empoli;De Kremlinfluisteraar;10-6-2023;;;
Heather Morris;De tatoeëerder van Auschwitz;5-6-2023;;;
Raynor Winn;Landlijnen;1-6-2023;;;
Mathijs Deen;Het lichtschip;26-5-2023;;;
Mathijs Deen;De Hollander;25-5-2023;;;
John Kuipers;Musserts schaduw;20-5-2023;;;
Robert A. Caro;The path to power;1-5-2023;;;
Robert A. Caro;Means of ascent;1-5-2023;;;
Robert A. Caro;Master of the senate;1-5-2023;;;
;;;;;
